question,generated_answer,ground_truth_answer,num_retrieved,recall@1,precision@1,recall@3,precision@3,recall@5,precision@5,recall@10,precision@10,mrr,rouge_l,exact_match,semantic_similarity,citation_precision,citation_recall,citation_f1,has_refusal,question_type,doc_name,answerable
Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,,AES has converted inventory 9.5 times in FY 2022.,10,0.5,1.0,0.5,0.3333333333333333,0.5,0.6,0.5,0.4,0.5,0,0.0,0.07328350841999054,0.0,0.0,0.0,False,domain-relevant,AES_2022_10K,True
"Based on the information provided primarily in the statement of financial position and the statement of income, what is AES's FY2022 return on assets (ROA)? ROA is defined as: FY2022 net income / (average total assets between FY2021 and FY2022). Round your answer to two decimal places.",,-0.02,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.15454573929309845,0.0,0.0,0.0,False,metrics-generated,AES_2022_10K,True
What is Amazon's FY2017 days payable outstanding (DPO)? DPO is defined as: 365 * (average accounts payable between FY2016 and FY2017) / (FY2017 COGS + change in inventory between FY2016 and FY2017). Round your answer to two decimal places. Address the question by using the line items and information shown within the balance sheet and the P&L statement.,,93.86,10,0.0,0.0,0.0,0.0,0.5,0.4,0.5,0.4,0.125,0,0.0,0.1527998149394989,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
What is Amazon's year-over-year change in revenue from FY2016 to FY2017 (in units of percents and round to one decimal place)? Calculate what was asked by utilizing the line items clearly shown in the statement of income.,,30.8%,10,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.5,1.0,0,0.0,0.15289902687072754,0.0,0.0,0.0,False,metrics-generated,AMAZON_2017_10K,True
"By drawing conclusions from the information stated only in the income statement, what is Amazon's FY2019 net income attributable to shareholders (in USD millions)?",,$11588.00,10,1.0,1.0,1.0,0.6666666666666666,1.0,0.6,1.0,0.5,1.0,0,0.0,0.15033401548862457,0.0,0.0,0.0,False,metrics-generated,AMAZON_2019_10K,True
What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,,$1616.00,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.09720102697610855,0.0,0.0,0.0,False,metrics-generated,AMCOR_2020_10K,True
What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,,"Amcor Finance (USA), Inc. and Amcor Flexibles North America, Inc., entered into supplemental indentures relating to Guaranteed Senior Notes due 2026 and 2028. This involved the substitution of the Substitute Issuer (Amcor Flexibles North America) for the Former Issuer (Amcor Finance) and the assumption of covenants under the indentures. (In essence a novation agreement)",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0815759152173996,0.0,0.0,0.0,False,novel-generated,AMCOR_2022_8K_dated-2022-07-01,True
"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",,The quick ratio has slightly improved from 0.67 times to 0.69 times between FY 2023 and FY 2022.(3.4% jump),10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.06290031969547272,0.0,0.0,0.0,False,domain-relevant,AMCOR_2023_10K,True
"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?",,"Amcor completed these acquisitions during FY2023:
-100% equity interest of a flexibles manufacturing company in the Czech Republic
- 100% equity interest in a medical device packaging manufacturing site in
Shanghai, China.
-acquisition of a New Zealand-based leading manufacturer of state-of-the-art, automated protein
packaging machines.",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.10342217236757278,0.0,0.0,0.0,False,domain-relevant,AMCOR_2023_10K,True
What industry does AMCOR primarily operate in?,,Amcor is a global leader in packaging production for various use cases.,10,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.2,0.25,0,0.0,0.08387583494186401,0.0,0.0,0.0,False,domain-relevant,AMCOR_2023_10K,True
"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",,No. For AMCOR there has been a slight decline in gross margins by 0.8%.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.050270963460206985,0.0,0.0,0.0,False,domain-relevant,AMCOR_2023_10K,True
What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,,87% of the total restructuring liability is related Employee liabilities.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.030193978920578957,0.0,0.0,0.0,False,novel-generated,AMCOR_2023Q2_10Q,True
What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,,"AMCOR's Adj. EBITDA was $2,018mn in FY 2023",10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.3,0.3333333333333333,0,0.0,0.1102990210056305,0.0,0.0,0.0,False,novel-generated,AMCOR_2023Q4_EARNINGS,True
"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?",,The Real Growth was flat in FY 2023 vs FY 2022.,10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,0.5,0,0.0,0.04718982055783272,0.0,0.0,0.0,False,novel-generated,AMCOR_2023Q4_EARNINGS,True
"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?",,4.2%,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13461336493492126,0.0,0.0,0.0,False,metrics-generated,AMD_2015_10K,True
"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",,"Yes. The quick ratio is 1.57, calculated as (cash and cash equivalents+Short term investments+Accounts receivable, net+receivables from related parties)/ (current liabilities).",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.010664228349924088,0.0,0.0,0.0,False,domain-relevant,AMD_2022_10K,True
What are the major products and services that AMD sells as of FY22?,,"AMD sells server microprocessors (CPUs) and graphics processing units (GPUs), data processing units (DPUs), Field Programmable Gate Arrays (FPGAs), and Adaptive System-on-Chip (SoC) products for data centers; CPUs, accelerated processing units (APUs) that integrate CPUs and GPUs, and chipsets for desktop and notebook personal computers; discrete GPUs, and semi-custom SoC products and development services; and embedded CPUs, GPUs, APUs, FPGAs, and Adaptive SoC products.",10,1.0,1.0,1.0,0.6666666666666666,1.0,0.4,1.0,0.2,1.0,0,0.0,0.011308282613754272,0.0,0.0,0.0,False,domain-relevant,AMD_2022_10K,True
What drove revenue change as of the FY22 for AMD?,,"In 2022, AMD reported Higher sales of their EPYC server processors, higher semi-custom product sales, and the inclusion of Xilinx embedded product sales",10,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0,0.0,0.06015662103891373,0.0,0.0,0.0,False,domain-relevant,AMD_2022_10K,True
"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.",,The decrease in AMD's operating income was primarily driven by amortization of intangible assets associated with the Xilinx acquisition,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.03519127517938614,0.0,0.0,0.0,False,domain-relevant,AMD_2022_10K,True
"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?",,"In 2022, AMD brought in the most cashflow from Operations",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.06660568714141846,0.0,0.0,0.0,False,domain-relevant,AMD_2022_10K,True
"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",,Data Center,10,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,0,0.0,0.09264855086803436,0.0,0.0,0.0,False,novel-generated,AMD_2022_10K,True
Did AMD report customer concentration in FY22?,,"Yes, one customer accounted for 16% of consolidated net revenue",10,0.0,0.0,1.0,0.6666666666666666,1.0,0.4,1.0,0.3,0.5,0,0.0,0.10377238690853119,0.0,0.0,0.0,False,novel-generated,AMD_2022_10K,True
Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,,There are none,10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,0.5,0,0.0,0.18328897655010223,0.0,0.0,0.0,False,domain-relevant,AMERICANEXPRESS_2022_10K,True
What are the geographies that American Express primarily operates in as of 2022?,,"United States, EMEA, APAC, and LACC",10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.14285714285714285,0,0.0,0.016135198995471,0.0,0.0,0.0,False,domain-relevant,AMERICANEXPRESS_2022_10K,True
"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",,Performance is not measured through operating margin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.027224548161029816,0.0,0.0,0.0,False,domain-relevant,AMERICANEXPRESS_2022_10K,True
"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.",,Performance is not measured through gross margin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.043774038553237915,0.0,0.0,0.0,False,domain-relevant,AMERICANEXPRESS_2022_10K,True
How much has the effective tax rate of American Express changed between FY2021 and FY2022?,,The effective tax rate for American Express has changed/dropped from 24.6% in FY 2021 to 21.6% in FY 2022.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.031513139605522156,0.0,0.0,0.0,False,domain-relevant,AMERICANEXPRESS_2022_10K,True
What was the largest liability in American Express's Balance Sheet in 2022?,,Customer deposits,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.19663327932357788,0.0,0.0,0.0,False,novel-generated,AMERICANEXPRESS_2022_10K,True
Was American Express able to retain card members during 2022?,,Yes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.48657479882240295,0.0,0.0,0.0,False,novel-generated,AMERICANEXPRESS_2022_10K,True
How much (in USD billions) did American Water Works pay out in cash dividends for FY2020? Compute or extract the answer by primarily using the details outlined in the statement of cash flows.,,$0.40,10,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.6,1.0,0,0.0,0.12651051580905914,0.0,0.0,0.0,False,metrics-generated,AMERICANWATERWORKS_2020_10K,True
"Basing your judgments off of the cash flow statement and the income statement, what is American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) in USD millions?",,$1832.00,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0,0.0,0.16331607103347778,0.0,0.0,0.0,False,metrics-generated,AMERICANWATERWORKS_2021_10K,True
"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",,"No, American Water Works had negative working capital of -$1561M in FY 2022.",10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,0.3333333333333333,0,0.0,-0.015254582278430462,0.0,0.0,0.0,False,domain-relevant,AMERICANWATERWORKS_2022_10K,True
"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.",,2.8%,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.15929490327835083,0.0,0.0,0.0,False,metrics-generated,BESTBUY_2017_10K,True
What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,,$5409.00,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1462136059999466,0.0,0.0,0.0,False,metrics-generated,BESTBUY_2019_10K,True
"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.",,"Yes, the margins have been consistent, there has been a minor decline of 1.1% in gross margins between FY2022 and FY2023.",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.041816022247076035,0.0,0.0,0.0,False,domain-relevant,BESTBUY_2023_10K,True
"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?",,"Best Buy closed two acquisitions, both these companies were already partially owned by Best Buy, but Best Buy acquired all outstanding shares of these two companies during FY 2022: (1) Current Health Ltd and (2) Two Peaks, LLC d/b/a Yardbird Furniture",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.013685066252946854,0.0,0.0,0.0,False,domain-relevant,BESTBUY_2023_10K,True
"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?",,Best Buy generated the most cash flow from operating activities in FY 2023 ($1.8 bn),10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13303039968013763,0.0,0.0,0.0,False,domain-relevant,BESTBUY_2023_10K,True
Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,,"Yes, there was a decline of ~42% between FY2023 and Q2 of FY 2024.",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.06698881089687347,0.0,0.0,0.0,False,novel-generated,BESTBUY_2024Q2_10Q,True
Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?,,"Yes, there is decline in number stores by 1.32% from 982 stores in Q2 FY 2023 to 969 by the end of Q2 FY2024.",10,0.0,0.0,1.0,0.3333333333333333,1.0,0.4,1.0,0.2,0.3333333333333333,0,0.0,0.028052467852830887,0.0,0.0,0.0,False,novel-generated,BESTBUY_2024Q2_10Q,True
Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,,"The entertainment segment experienced the highest growth of 9% during Q2 FY2024, primarily from gaming division.",10,1.0,1.0,1.0,0.6666666666666666,1.0,0.4,1.0,0.4,1.0,0,0.0,0.059273459017276764,0.0,0.0,0.0,False,novel-generated,BESTBUY_2024Q2_10Q,True
"Considering the data in the balance sheet, what is Block's (formerly known as Square) FY2016 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.",,1.73,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.09719540923833847,0.0,0.0,0.0,False,metrics-generated,BLOCK_2016_10K,True
What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.,,101.5%,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1292133629322052,0.0,0.0,0.0,False,metrics-generated,BLOCK_2020_10K,True
"Using the cash flow statement, answer the following question to the best of your abilities: how much did Block (formerly known as Square) generate in cash flow from operating activities in FY2020? Answer in USD millions.",,$382.00,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.13881060481071472,0.0,0.0,0.0,False,metrics-generated,BLOCK_2020_10K,True
"We need to calculate a financial metric by using information only provided within the balance sheet. Please answer the following question: what is Boeing's year end FY2018 net property, plant, and equipment (in USD millions)?",,$12645.00,10,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.6,1.0,0,0.0,0.14691951870918274,0.0,0.0,0.0,False,metrics-generated,BOEING_2018_10K,True
Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,,"Yes. Boeing has product and service categories that represent more than 20% of Boeing's revenue for FY2022. These categories are Commercial Airplanes which comprises 39% of total revenue, Defence which comprises 35% of total revenue and Services which comprises 26% of total revenue.",10,0.0,0.0,1.0,0.6666666666666666,1.0,0.8,1.0,0.8,0.5,0,0.0,0.08451249450445175,0.0,0.0,0.0,False,domain-relevant,BOEING_2022_10K,True
Has Boeing reported any materially important ongoing legal battles from FY2022?,,Yes. Multiple lawsuits have been filed against Boeing resulting from a 2018 Lion Air crash and a 2019 Ethiopian Airlines crash.,10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,0.5,0,0.0,0.07983220368623734,0.0,0.0,0.0,False,domain-relevant,BOEING_2022_10K,True
"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.",,"Yes. Boeing has an improving gross margin profile as of FY2022. Gross profit improved from $3,017 million in FY2021 to $3,502 million in FY2022. Gross margin % improved from 4.8% in FY2021 to 5.3% in FY2022.",10,0.0,0.0,1.0,0.3333333333333333,1.0,0.4,1.0,0.4,0.5,0,0.0,0.0342438742518425,0.0,0.0,0.0,False,domain-relevant,BOEING_2022_10K,True
Who are the primary customers of Boeing as of FY2022?,,Boeing's primary customers as of FY2022 are a limited number of commercial airlines and the US government. The US government accounted for 40% of Boeing's total revenues in FY2022.,10,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.4,1.0,0.3,0.2888888888888889,0,0.0,0.06361319124698639,0.0,0.0,0.0,False,domain-relevant,BOEING_2022_10K,True
Is Boeing's business subject to cyclicality?,,"Yes, Boeing's business is subject to cyclicality due to its exposure to the airline industry which is a cyclical industry.",10,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.2,1.0,0,0.0,0.04597562178969383,0.0,0.0,0.0,False,novel-generated,BOEING_2022_10K,True
What production rate changes is Boeing forecasting for FY2023?,,"Boeing forecasts an increase in the production rates for the 737, 777X and 787 aircrafts in 2023.",10,0.0,0.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,0.3333333333333333,0,0.0,0.10772260278463364,0.0,0.0,0.0,False,novel-generated,BOEING_2022_10K,True
How does Boeing's effective tax rate in FY2022 compare to FY2021?,,"Effective tax rate in FY2022 was 0.62%, compared to  -14.76% in FY2021.",10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.020411774516105652,0.0,0.0,0.0,False,novel-generated,BOEING_2022_10K,True
What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,,0.01,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.15941579639911652,0.0,0.0,0.0,False,metrics-generated,COCACOLA_2017_10K,True
What is Coca Cola's FY2021 COGS % margin? Calculate what was asked by utilizing the line items clearly shown in the income statement.,,39.7%,10,0.0,0.0,1.0,0.3333333333333333,1.0,0.4,1.0,0.3,0.5,0,0.0,0.15409991145133972,0.0,0.0,0.0,False,metrics-generated,COCACOLA_2021_10K,True
What is Coca Cola's FY2022 dividend payout ratio (using total cash dividends paid and net income attributable to shareholders)? Round answer to two decimal places. Answer the question asked by assuming you only have access to information clearly displayed in the cash flow statement and the income statement.,,0.8,10,0.0,0.0,0.5,0.3333333333333333,0.5,0.2,0.5,0.3,0.25,0,0.0,0.22425970435142517,0.0,0.0,0.0,False,metrics-generated,COCACOLA_2022_10K,True
"Based on the information provided primarily in the balance sheet and the statement of income, what is FY2020 days payable outstanding (DPO) for Corning? DPO is defined as: 365 * (average accounts payable between FY2019 and FY2020) / (FY2020 COGS + change in inventory between FY2019 and FY2020). Round your answer to two decimal places.",,63.86,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1380559206008911,0.0,0.0,0.0,False,metrics-generated,CORNING_2020_10K,True
"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.",,10.3%,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.14325051009655,0.0,0.0,0.0,False,metrics-generated,CORNING_2021_10K,True
How much has the effective tax rate of Corning changed between FY2021 and FY2022?,,The effective tax rate of Corning has changed from 20% in FY2021 to 23% in FY 2022.,10,1.0,1.0,1.0,0.6666666666666666,1.0,0.4,1.0,0.2,1.0,0,0.0,0.0035226475447416306,0.0,0.0,0.0,False,domain-relevant,CORNING_2022_10K,True
"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",,Yes. Corning had a positive working capital amount of $831 million by FY 2022 close. This answer considers only operating current assets and current liabilities that were clearly shown in the balance sheet.,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.03167761117219925,0.0,0.0,0.0,False,domain-relevant,CORNING_2022_10K,True
"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.",,$59268.00,10,0.0,0.0,1.0,0.6666666666666666,1.0,0.6,1.0,0.4,0.5,0,0.0,0.12299436330795288,0.0,0.0,0.0,False,metrics-generated,COSTCO_2021_10K,True
What is the FY2018 fixed asset turnover ratio for CVS Health? Fixed asset turnover ratio is defined as: FY2018 revenue / (average PP&E between FY2017 and FY2018). Round your answer to two decimal places. Calculate what was asked by utilizing the line items clearly shown in the P&L statement and the balance sheet.,,17.98,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2423916608095169,0.0,0.0,0.0,False,metrics-generated,CVSHEALTH_2018_10K,True
